Company Name,Company Link,Address,Phone,Emergency Ph,Web Site,Fax,Email,Contact Person1 Name,Contact Person1 Title,Contact person1 Email,Contact Person2 Name,Contact Person2 Title,Contact person2 Email
"Phnom Penh - Advanced Glory Logistics (Cambodia) Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/59706,"No. 314DEo, Street 150, Sangkat Tuek Laak 2, Khan Toulkok, Phnom Penh, Cambodia",+855 23 885 778,"
+855 12 867 441
","
http://www.agl-group.com/
",+855 23 996 012,"
pnh@agl-group.com ","Mr. Pheng  Kouch (William)
                                                        ",President,"
bod@agl-group.com;president@agl-group.com ","Mr. Eric Lee
                                                        ",General Manager,"
pnh@agl-group.com "
Phnom Penh - Alliance Forwarding (Cambodia) Co. Ltd. (Head Office),https://www.lognetglobal.com/directory/members/134443,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,null,null,null,null,null,null
"Phnom Penh - Angkobodia Logistics Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/110850,"Regency Complex C, Ground Floor,Unit#27-29/168, Samdech Monireth Blvd., (St.217),Sangkat Tomnoubteuk, Khan Chamkarmon,Phnom Penh, Kingdom of Cambodia",+855 12 994 099,"
+855 16 929 105
","
https://www.angkobodia.com/
",+855 23 424 341,"
meyly_chen@angkobodia.com ","Ms. Taing  Muly
                                                        ",Director,"
meyly_chen@angkobodia.com ","Ms. Ngor  Lyur
                                                        ",Manager,"
sale@angkobodia.com "
"Phnom Penh - B.I.M Logistics Co., Ltd. (Head Office)",https://www.globalaffinityalliance.com/directory/members/123781,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,Not the same Domine,null,null,null,null,null,null
"Phnom Penh - Branch Of APS Logistics Pte Ltd (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/63675,"9th Floor, H Silver Building,No. 420, Street 271,  Sangkat Toumnoup Teuk,Khan Chamkarmon,Phnom Penh, Cambodia",+855 23 993 024 / 25 / 26 / 27,null,"
http://apssoutheastasia.com/
",+855 23 987 675,"
louis@apssoutheastasia.com ","
                                                            Mr. Louis (Huynh Binh Minh)
                                                        ",Group CEO,"
louis@apssoutheastasia.com ",null,null,null
"Phnom Penh - C.L CARGO Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/114904,"#56DE0, Street 230,Sangkat Boeng Salang,Khan Toul Kok,Phnom Penh, Cambodia 120410",+855 23 88 18 18,"
+855 93 99 16 16 (Mr. Loeung Lihann)
","
http://www.cl-cargo.com/
",(N/A),"
lihann@cl-cargo.com ","Mr. Loeung  Lihann
                                                        ",General Manager,"
lihann@cl-cargo.com ","Mr. Pisey Ly
                                                        ",Operation Manager,"
operation@cl-cargo.com "
"Phnom Penh - CFA LOGISTICS Co., Ltd. (Phnom Penh, Head Office)
(Formerly known as CFA-Logistics (Cambodia) Co., Ltd.)",https://www.wcaworld.com/directory/members/14493,"No. 354, Street 10m (new), Piphub Thmey AEON2,Sangkat Phnom Penh Thmey, Khan Sen Sok,Phnom Penh, Cambodia,Postal Code: 12101",+855.23.880808,"
+855.12.857390 (Mr. Wanna KEO)
","
http://www.cfa-logistics.com/
",+855.23.880898,"
general@cfa-logistics.com ; office@cfa-logistics.com ; import@cfa-logistics.com ; export@cfa-logistics.com ","Mr. Wanna  KEO
                                                        ",Managing Director,"
general@cfa-logistics.com ","Mr. Panharith  KHIEV
                                                        ",General Manager,"
office@cfa-logistics.com "
"Phnom Penh - Cool Freight & Logistics Co., Ltd. (Phnom Penh, Head Office)
(Formerly known as Cool Transport & Logistics Co., Ltd.)",https://www.wcaworld.com/directory/members/91460,"No. 3-H, Street 307,Sangkat Beoung Kok II,Khan Toul kork,12152 Phnom Penh, Cambodia",+855 23 976 800 +855 23 640 3343,"
+855 17 766 800
","
http://www.cool-transport.com/
",(N/A),"
narong@cool-transport.com ","Mr. Chan Narong
                                                        ",Managing Director ,"
narong@cool-transport.com ","Mr. Khat Sokhun
                                                        ",Sales Manager ,"
sales@cool-transport.com "
"Phnom Penh - E-Freight Solution Inc. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/97154,"#184, POC 5th floor, St. 217,Sangkat Tumnop Teok,Khan Chamkarmon,Phnom Penh, Cambodia",+855 23 996 787,"
+855 12 983 868, +855 77 996 787
","
https://e-freightsolution.com/
",+855 23 996 797,"
operation1@e-freightsolution.com ; operation@e-freightsolution.com ","Mr. Lek  Amrin
                                                        ",Sales Manager,"
sales1@e-freightsolution.com ","Ms. Sim  Muyleng
                                                        ",Operation Supervisor,"
operation1@e-freightsolution.com "
"Phnom Penh - FWF Full Well and Nisshin Logistics Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/18617,"No.01, Street 548,Sangkat Boeung Kok I,Khan Toul Kork, 12151,Phnom Penh, Cambodia","+855 23 882 528, +855 23 882 628","
+855 17 858 168 (Mr. Tiv Suor (Andy))
","
http://www.fullwell.biz/
",+855 23 882 538,"
contact@fullwell.biz ","Mr. Tiv   Suor (Andy)
                                                        ",Executive Director,"
andy@fullwell.biz ","Mr. Lim Hor Poth (Lin)
                                                        ",Managing Director,"
lin@fullwell.biz "
"Phnom Penh - LNL (Cambodia) Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/64049,"House No.14, Street 02A,Sangkat Teuk Thla, Khan Sen Sok,Phnom Penh 12102, Cambodia","+855.23.969668, +855.23.901268",null,"
http://www.lnlcambodia.com/
",+855.23.995552,"
info@lnlcambodia.com ","Thomas  Lim
                                                        ",Managing Director ,"
thomas_lim@lnlcambodia.com ","Erica  Chen
                                                        ",Business Development Manager,"
erica_chen@lnlcambodia.com "
"Phnom Penh - Macle Logistics (Cambodia) Co., Ltd. (Phnom Penh, Head Office)",https://www.wcaworld.com/directory/members/95225,"Room202, 2nd Floor, Saphir Bldg, St. 259,Sangkat Teuk Laork I,Khan Tuol Kork,Phnom Penh, Cambodia",+855.23.884.155 / +855.23.883.455,null,"
http://www.maclelogistics.com/
",+855.23.885.777,"
info@maclelogistics.com ","
                                                            Mr. Soy Sophal
                                                        ",Business Director,"
info@maclelogistics.com ",null,null,null
